City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Saint George,37.1041,-113.5841,293.68,39,0,1.79,US,1665387064
Castro,-24.7911,-50.0119,286.47,98,100,4.01,BR,1665387065
Yellowknife,62.456,-114.3525,281.44,93,75,4.63,CA,1665386878
Port Alfred,-33.5906,26.891,295.47,73,98,3.13,ZA,1665387066
George Town,5.4112,100.3354,305.11,72,20,5.14,MY,1665387028
Coyhaique,-45.5752,-72.0662,279.12,61,75,1.54,CL,1665387067
Nemuro,43.3236,145.575,287.37,93,100,17.81,JP,1665386801
Bredasdorp,-34.5322,20.0403,294.28,60,100,6.12,ZA,1665387067
Bahía Blanca,-38.7196,-62.2724,279.86,49,0,2.65,AR,1665387067
Arraial do Cabo,-22.9661,-42.0278,294.06,96,99,2.91,BR,1665387068
Fairlie,55.756,-4.8556,282.26,90,92,4.92,GB,1665387068
Avarua,-21.2078,-159.775,296.18,78,75,7.72,CK,1665387069
Cape Town,-33.9258,18.4232,294.38,56,0,3.6,ZA,1665386645
Cascavel,-24.9558,-53.4553,289.61,99,100,4.18,BR,1665387069
Taku,39.0211,117.6469,290.13,18,0,5.85,CN,1665387070
Thompson,55.7435,-97.8558,279.24,81,40,2.06,CA,1665387029
Bethel,41.3712,-73.414,281.75,84,0,0.0,US,1665387070
San Fernando del Valle de Catamarca,-28.4696,-65.7852,288.02,19,0,4.47,AR,1665386888
Guerrero Negro,27.9769,-114.0611,294.14,89,11,4.57,MX,1665387071
Ancud,-41.8697,-73.8203,277.28,86,0,1.28,CL,1665387071
Arman',59.7,150.1667,271.0,82,85,1.02,RU,1665387072
Airai,-8.9266,125.4092,296.16,60,100,1.33,TL,1665386915
Cayenne,4.9333,-52.3333,298.17,94,100,1.03,GF,1665387006
Kapaa,22.0752,-159.319,298.14,87,0,3.09,US,1665387073
Bandarbeyla,9.4942,50.8122,303.73,58,15,6.05,SO,1665387073
Souillac,-20.5167,57.5167,298.36,61,40,6.17,MU,1665387074
Bambous Virieux,-20.3428,57.7575,298.29,61,40,6.17,MU,1665387074
Punta Arenas,-53.15,-70.9167,282.21,61,40,12.86,CL,1665387074
Rikitea,-23.1203,-134.9692,295.21,73,0,5.78,PF,1665387075
Murray Bridge,-35.1167,139.2667,294.33,39,64,3.66,AU,1665387075
Tuktoyaktuk,69.4541,-133.0374,274.0,98,100,9.63,CA,1665387076
Punta Gorda,26.9298,-82.0454,298.74,91,100,4.92,US,1665387076
Bam,29.106,58.357,300.46,7,0,3.85,IR,1665387077
Atuona,-9.8,-139.0333,298.17,66,81,8.09,PF,1665387077
Chapais,49.7834,-74.8492,273.03,96,100,3.07,CA,1665387078
Alyangula,-13.8483,136.4192,302.63,60,80,3.6,AU,1665387078
Pangody,65.85,74.4859,279.59,88,100,3.83,RU,1665387078
Vostok,46.4856,135.8833,279.75,91,100,6.95,RU,1665387079
Vila Velha,-20.3297,-40.2925,297.12,88,40,3.09,BR,1665387079
Ushuaia,-54.8,-68.3,280.96,71,40,2.06,AR,1665386844
Olafsvik,64.8945,-23.7142,275.37,62,69,4.86,IS,1665387080
Hermanus,-34.4187,19.2345,291.93,62,100,5.57,ZA,1665387080
Saskylakh,71.9167,114.0833,261.85,93,75,3.4,RU,1665387022
Darbhanga,26.1667,85.9,306.32,53,40,3.74,IN,1665387082
Port Augusta,-32.5,137.7667,295.2,21,100,5.32,AU,1665387082
Labytnangi,66.6572,66.4183,280.53,68,51,6.94,RU,1665387083
Busselton,-33.65,115.3333,288.26,51,22,8.42,AU,1665387083
Barrow,71.2906,-156.7887,272.16,86,75,10.29,US,1665386919
Oruzgan,32.8333,66.0,294.19,5,0,2.67,AF,1665387084
Bay Roberts,47.5999,-53.2648,282.01,93,7,0.89,CA,1665387085
Mataura,-46.1927,168.8643,283.87,78,22,2.24,NZ,1665387085
Lüderitz,-26.6481,15.1594,292.48,66,100,7.03,NA,1665387086
Oranjemund,-28.55,16.4333,294.75,57,100,5.71,NA,1665387086
Muros,42.7762,-9.0603,289.87,96,100,3.43,ES,1665387087
Hilo,19.7297,-155.09,301.64,95,0,1.54,US,1665387087
Padang,-0.9492,100.3543,302.18,68,66,2.61,ID,1665387087
Ixtapa,20.7,-105.2,296.88,81,2,1.54,MX,1665387088
Lebu,-37.6167,-73.65,282.24,84,2,9.0,CL,1665387088
Kaduna,10.5222,7.4383,298.77,73,12,0.36,NG,1665387089
Kalangala,-0.3089,32.225,295.54,66,15,1.7,UG,1665387089
Qaanaaq,77.484,-69.3632,258.49,66,6,3.93,GL,1665387089
Northam,51.0333,-4.2167,284.6,79,0,7.89,GB,1665387090
Albany,42.6001,-73.9662,282.13,93,76,1.2,US,1665386807
Severo-Kuril'sk,50.6789,156.125,280.79,78,71,2.41,RU,1665387090
New Norfolk,-42.7826,147.0587,288.66,56,59,0.45,AU,1665387090
Schaffhausen,47.6973,8.6349,286.9,95,97,0.89,CH,1665387091
Carnarvon,-24.8667,113.6333,294.52,65,96,9.44,AU,1665387091
El Alto,-4.2714,-81.2147,289.6,87,46,5.53,PE,1665387092
Willowmore,-33.2926,23.4895,292.82,48,100,2.01,ZA,1665387092
Domoni,-12.2569,44.5319,300.06,60,24,2.75,KM,1665387092
Morki,56.4303,48.9947,282.88,82,100,2.4,RU,1665387093
Comodoro Rivadavia,-45.8667,-67.5,282.07,49,0,5.66,AR,1665387093
Narsaq,60.9167,-46.05,276.27,98,100,2.23,GL,1665387094
Timrå,62.487,17.3257,284.08,100,0,1.54,SE,1665387094
Nome,64.5011,-165.4064,273.19,70,75,1.54,US,1665387095
Upernavik,72.7868,-56.1549,260.9,73,0,1.73,GL,1665387095
Karratha,-20.7377,116.8463,303.07,34,13,9.93,AU,1665387096
Hobart,-42.8794,147.3294,288.85,74,75,0.51,AU,1665387009
Porto Velho,-8.7619,-63.9039,298.18,83,0,0.51,BR,1665387096
Klaksvík,62.2266,-6.589,279.66,86,96,17.96,FO,1665387096
Leh,34.1667,77.5833,284.46,24,10,2.72,IN,1665387098
Iqaluit,63.7506,-68.5145,270.0,86,100,6.17,CA,1665387014
Cabo San Lucas,22.8909,-109.9124,299.05,78,0,4.44,MX,1665386931
Vaini,-21.2,-175.2,295.24,94,40,2.06,TO,1665387099
Severnyy,50.677,36.5532,283.17,93,100,4.0,RU,1665387099
Saint-Philippe,-21.3585,55.7679,298.92,62,4,5.95,RE,1665387100
Teya,60.3778,92.6267,279.1,95,100,2.81,RU,1665387100
Ust-Nera,64.5667,143.2,264.05,97,100,1.61,RU,1665387100
Tottori-shi,35.5,134.2333,291.19,68,75,4.12,JP,1665386853
Mukhen,48.1,136.1,283.73,71,100,3.53,RU,1665387101
Husavik,66.0449,-17.3389,272.96,95,100,11.97,IS,1665387101
Kiryat Gat,31.61,34.7642,299.14,9,6,0.89,IL,1665386813
Sitka,57.0531,-135.33,285.09,71,75,3.6,US,1665387102
Hailey,43.5196,-114.3153,283.64,57,0,4.12,US,1665387102
Butaritari,3.0707,172.7902,300.4,80,100,5.38,KI,1665387102
East London,-33.0153,27.9116,294.67,73,40,5.66,ZA,1665387103
Nikolskoye,59.7035,30.7861,280.26,70,79,4.01,RU,1665387103
Taoudenni,22.6783,-3.9836,304.45,28,86,10.7,ML,1665387103
Terme,41.2092,36.9739,291.11,82,100,2.72,TR,1665387104
Half Moon Bay,37.4636,-122.4286,288.59,92,100,4.12,US,1665387061
Lagoa,39.05,-27.9833,294.17,89,25,4.03,PT,1665387104
Hithadhoo,-0.6,73.0833,300.4,77,100,7.02,MV,1665387105
Tapejara,-28.0681,-52.0139,282.3,98,100,4.33,BR,1665387105
Oranjestad,12.524,-70.027,299.77,89,20,2.57,AW,1665387105
Tromsø,69.6496,18.957,281.16,81,75,7.2,NO,1665387106
Skjervøy,70.0311,20.9714,278.15,81,100,4.82,NO,1665387106
Khatanga,71.9667,102.5,261.78,95,7,2.04,RU,1665387106
Dikson,73.5069,80.5464,273.9,98,100,10.64,RU,1665387107
Havøysund,70.9963,24.6622,280.28,81,96,7.78,NO,1665387107
Saint Paul Harbor,57.79,-152.4072,280.88,57,75,2.06,US,1665386814
Fortuna,40.5982,-124.1573,285.33,90,100,0.0,US,1665387108
Abu Kamal,34.4506,40.9171,299.66,32,0,3.0,SY,1665387108
Antofagasta,-23.65,-70.4,287.75,84,20,2.3,CL,1665386913
Kloulklubed,7.0419,134.2556,303.43,65,100,3.63,PW,1665387109
Geraldton,-28.7667,114.6,294.38,46,68,7.2,AU,1665387110
Brae,60.3964,-1.353,282.11,74,75,14.77,GB,1665387110
Flinders,-34.5833,150.8552,289.36,67,44,2.68,AU,1665387111
Boralday,43.3578,76.8594,288.07,31,20,3.0,KZ,1665387111
Te Anau,-45.4167,167.7167,281.93,87,67,4.82,NZ,1665387111
Dmitriyevskoye,45.8053,41.8967,294.31,61,61,6.71,RU,1665387112
Safaga,26.7292,33.9365,301.96,41,0,7.04,EG,1665387112
Dzhebariki-Khaya,62.2167,135.8,271.81,98,100,2.52,RU,1665387112
Avera,33.194,-82.5271,286.88,92,0,2.85,US,1665387113
Bathsheba,13.2167,-59.5167,298.49,94,40,3.6,BB,1665387113
Clyde River,70.4692,-68.5914,265.28,86,100,6.17,CA,1665387114
Oussouye,12.485,-16.5469,297.84,90,97,1.78,SN,1665387114
Rosetown,51.5501,-108.0014,278.14,65,100,2.57,CA,1665387114
Plouzané,48.3833,-4.6167,288.33,100,100,5.14,FR,1665387115
Saint-Nazaire,47.2833,-2.2,289.3,95,20,2.57,FR,1665387115
Kahului,20.8947,-156.47,300.16,82,40,2.57,US,1665387116
Hofn,64.2539,-15.2082,275.65,56,98,11.62,IS,1665387116
Atar,20.5169,-13.0499,304.28,34,97,2.5,MR,1665387116
Lompoc,34.6391,-120.4579,289.27,92,100,2.06,US,1665387117
Tayu,-6.5397,111.0518,302.44,70,100,2.8,ID,1665387117
Shelburne,44.0787,-80.2041,280.4,97,97,1.47,CA,1665387117
Gambo,4.6482,22.2633,296.67,87,100,1.05,CF,1665387118
Praia da Vitória,38.7333,-27.0667,294.68,100,75,4.63,PT,1665387118
Coquimbo,-29.9533,-71.3436,286.0,82,100,2.06,CL,1665387118
Srednekolymsk,67.45,153.6833,267.46,65,100,4.46,RU,1665387119
Faanui,-16.4833,-151.75,298.79,75,10,7.85,PF,1665387119
Golden,39.7555,-105.2211,286.36,41,0,2.68,US,1665387120
Leningradskiy,69.3833,178.4167,264.74,75,90,6.88,RU,1665387120
Portland,45.5234,-122.6762,293.73,75,0,0.45,US,1665386870
Okhotsk,59.3833,143.3,271.82,54,35,0.76,RU,1665387120
Binzhou,37.3667,118.0167,287.68,29,0,4.9,CN,1665387121
Nadym,65.5333,72.5167,280.41,84,100,3.6,RU,1665387121
Mahon,39.8885,4.2658,291.46,94,20,2.57,ES,1665387122
Bluff,-46.6,168.3333,287.72,63,63,5.81,NZ,1665387122
Tiksi,71.6872,128.8694,264.99,87,100,4.36,RU,1665387123
Grindavik,63.8424,-22.4338,275.41,75,75,4.63,IS,1665387123
Kyabé,9.4515,18.9449,297.8,79,94,1.61,TD,1665387124
Cherskiy,68.75,161.3,266.35,93,100,6.82,RU,1665387124
Longyearbyen,78.2186,15.6401,274.06,80,75,1.03,SJ,1665387125
Mankera,31.3866,71.4407,306.37,31,0,1.97,PK,1665387125
Ust-Kuyga,70.0167,135.6,260.96,97,80,0.87,RU,1665387126
Itoman,26.1247,127.6694,299.16,75,75,11.32,JP,1665387036
Norman Wells,65.282,-126.8329,283.17,87,75,2.57,CA,1665387126
La Rioja,42.25,-2.5,284.03,62,100,0.3,ES,1665387127
Paso de los Toros,-32.8167,-56.5167,278.61,74,0,3.0,UY,1665387127
Fort Nelson,58.8053,-122.7002,286.92,51,75,2.06,CA,1665387127
Constitución,-35.3333,-72.4167,282.41,70,0,2.52,CL,1665386930
Verkh-Usugli,52.7,115.1667,281.78,37,85,1.56,RU,1665387128
Esperance,-33.8667,121.9,287.06,69,71,11.51,AU,1665387128
Evensk,61.95,159.2333,268.73,75,38,3.47,RU,1665387129
Aden,12.7794,45.0367,303.28,62,5,6.46,YE,1665387129
Port Lincoln,-34.7333,135.8667,290.08,65,100,4.91,AU,1665387130
Kyshtym,55.714,60.5528,287.08,53,34,5.4,RU,1665387130
Katsuura,35.1333,140.3,298.55,88,43,10.79,JP,1665387131
Yulara,-25.2406,130.9889,303.25,11,8,4.29,AU,1665387131
Kuusamo,65.9667,29.1833,278.17,100,100,4.12,FI,1665387132
Dīr,35.2058,71.8756,295.84,38,0,3.3,PK,1665387133
Okha,53.5739,142.9478,277.99,79,6,3.78,RU,1665387133
Mandiana,10.6333,-8.6833,296.89,84,19,1.84,GN,1665387133
Pevek,69.7008,170.3133,269.78,73,100,11.05,RU,1665387134
Arlit,18.7369,7.3853,302.97,17,0,3.23,NE,1665387134
Amapá,1.0,-52.0,295.32,99,100,0.74,BR,1665387135
Departamento de Maldonado,-34.6667,-54.9167,276.81,84,0,1.52,UY,1665387135
Ponta Delgada,37.7333,-25.6667,295.65,88,40,2.57,PT,1665387136
Chokurdakh,70.6333,147.9167,266.24,94,99,5.08,RU,1665387136
Roald,62.5833,6.1333,283.57,71,75,10.29,NO,1665387137
Sur,22.5667,59.5289,304.95,32,7,3.93,OM,1665387137
Hay River,60.8156,-115.7999,287.14,54,75,5.66,CA,1665387137
Węgrów,52.3995,22.0163,280.88,63,14,4.07,PL,1665387138
Sittwe,20.15,92.9,303.37,69,28,5.3,MM,1665387139
Thinadhoo,0.5333,72.9333,301.0,74,13,7.04,MV,1665387139
Saldanha,-33.0117,17.9442,294.18,48,100,2.67,ZA,1665387139
Marsh Harbour,26.5412,-77.0636,300.71,76,18,4.67,BS,1665387140
Jalu,29.0331,21.5482,297.29,39,0,1.78,LY,1665387140
Ola,59.5833,151.2833,273.01,78,87,3.19,RU,1665387140
Torbay,47.6666,-52.7314,281.63,89,75,4.12,CA,1665387141
Noshiro,40.2039,140.0242,291.61,94,100,7.34,JP,1665386970
Sainte-Suzanne,-20.9061,55.6089,299.27,65,0,9.77,RE,1665387141
Nanortalik,60.1432,-45.2371,276.97,85,100,2.27,GL,1665387142
Tasiilaq,65.6145,-37.6368,270.61,88,100,2.71,GL,1665387142
Abu Dhabi,24.4667,54.3667,309.21,17,0,1.03,AE,1665386916
Chumikan,54.7183,135.315,277.25,53,6,5.14,RU,1665387143
Kenai,60.5544,-151.2583,277.18,63,0,3.6,US,1665387143
Sinnamary,5.3833,-52.95,298.79,91,84,3.55,GF,1665387143
Buala,-8.145,159.5921,300.63,75,81,1.22,SB,1665387144
Anadyr,64.75,177.4833,267.43,73,0,2.0,RU,1665387144
Laas,46.6166,10.7002,286.64,84,93,1.17,IT,1665387144
Katete,-0.7818,29.7544,299.17,47,68,1.4,UG,1665387145
Sola,-13.8833,167.55,300.22,74,27,3.46,VU,1665387145
Ucluelet,48.9329,-125.5528,284.31,90,61,1.08,CA,1665387029
Coari,-4.085,-63.1414,299.16,56,100,1.51,BR,1665387146
Los Llanos de Aridane,28.6585,-17.9182,293.01,85,75,5.66,ES,1665387146
Bavleny,56.4,39.56,282.54,67,39,5.25,RU,1665387147
Fort Smith,35.3859,-94.3986,288.9,80,0,0.0,US,1665387133
Tagusao,9.1924,117.8141,301.36,76,100,4.0,PH,1665387147
Jamestown,42.097,-79.2353,284.1,49,100,3.6,US,1665387147
San Patricio,28.017,-97.5169,299.17,66,2,2.82,US,1665387148
Santa Isabel Rio Negro,-0.4139,-65.0192,296.38,85,100,0.95,BR,1665387148
Mount Gambier,-37.8333,140.7667,286.99,70,100,1.57,AU,1665387121
Kaitangata,-46.2817,169.8464,287.4,59,100,4.11,NZ,1665386927
Burē,10.7,37.0667,291.38,80,42,1.36,ET,1665387149
Petropavlovsk-Kamchatskiy,53.0452,158.6483,277.48,52,20,5.0,RU,1665387149
North Bend,43.4065,-124.2243,285.33,97,100,2.06,US,1665387028
Mabaruma,8.2,-59.7833,296.46,98,99,1.1,GY,1665387150
Aksu,41.1231,80.2644,293.54,20,100,1.04,CN,1665387150
Provideniya,64.3833,-173.3,272.75,68,56,4.62,RU,1665387151
Gweta,-20.1833,25.2333,305.19,13,0,6.34,BW,1665387151
Bobrovka,54.047,61.7455,288.86,41,42,4.82,RU,1665387151
Jaguaquara,-13.5306,-39.9708,289.68,97,12,1.04,BR,1665387152
Cockburn Town,21.4612,-71.1419,301.11,76,46,8.12,TC,1665387152
Tarbagatay,51.4803,107.3602,283.89,26,94,2.94,RU,1665387153
Manturovo,58.3353,44.7619,282.87,68,100,2.63,RU,1665387153
Reporoa,-38.4333,176.35,285.05,99,51,1.35,NZ,1665387153
Chui,-33.6971,-53.4616,279.4,81,1,1.64,UY,1665387154
Shaunavon,49.6501,-108.4181,282.03,55,28,2.79,CA,1665387154
Killarney,52.05,-9.5167,281.18,93,20,1.03,IE,1665387155
Ponta do Sol,32.6667,-17.1,293.55,77,81,1.2,PT,1665387155
San Quintín,30.4833,-115.95,293.18,90,33,4.3,MX,1665387155
Loma Alta,15.3967,-88.5597,294.18,100,100,0.53,HN,1665387156
Hidalgo,20.5,-99.0,284.69,98,97,1.22,MX,1665387156
